sha256,region,category,pair_id,app_name,package,library_prefix,depth,class_count
9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,ru,social_1,social1,VK,com.vkontakte.android,me.zhanghai.android.materialprogressbar,4,66
9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,ru,social_1,social1,VK,com.vkontakte.android,com.my.target,3,342
9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,ru,social_1,social1,VK,com.vkontakte.android,com.my.tracker,3,223
9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,ru,social_1,social1,VK,com.vkontakte.android,me.grishka.appkit,3,44
9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,ru,social_1,social1,VK,com.vkontakte.android,org.chromium.net,3,382
9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,ru,social_1,social1,VK,com.vkontakte.android,org.shredzone.commons,3,5
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,at.favre.lib,3,5
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,com.arkivanov.essenty,3,7
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,com.koushikdutta.async,3,262
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,com.my.target,3,1229
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,com.my.tracker,3,331
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,com.theartofdev.edmodo,3,34
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,com.unity3d.ads,3,1029
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,com.yandex.android,3,25
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,com.yandex.div,3,2085
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,net.jpountz.lz4,3,42
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,ru,social_2,social2,OK,ru.ok.android,org.chromium.net,3,43
CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,eu,social_2,social2,X,com.twitter.android,com.ryanharter.auto.value,4,2
CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,eu,social_2,social2,X,com.twitter.android,app.cash.sqldelight,3,73
CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,eu,social_2,social2,X,com.twitter.android,com.apollographql.apollo,3,214
CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,eu,social_2,social2,X,com.twitter.android,com.arkivanov.decompose,3,304
CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,eu,social_2,social2,X,com.twitter.android,com.arkivanov.essenty,3,74
CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,eu,social_2,social2,X,com.twitter.android,com.bendb.thrifty,3,16
CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,eu,social_2,social2,X,com.twitter.android,com.ionspin.kotlin,3,82
